Space cost (bytes),# TPG edges,# Upper-bound edges,# STPG edges
1.00472e+07,59,22,22
1.00596e+07,193,54,54
1.00435e+07,27,7,7
1.00464e+07,61,17,17
1.01147e+07,761,355,355
1.00869e+07,462,169,169
1.00558e+07,187,43,43
1.01327e+07,975,278,278
1.01402e+07,1021,339,338
1.00467e+07,65,10,10
1.00432e+07,23,5,5
1.0044e+07,26,11,11
1.00497e+07,93,29,29
1.00844e+07,477,151,151
1.0095e+07,579,221,218
1.00615e+07,188,74,74
1.00718e+07,313,103,102
1.00463e+07,57,18,18
1.00432e+07,26,7,7
1.00656e+07,255,78,78
1.00536e+07,149,30,30
1.00794e+07,358,129,129
1.01455e+07,1132,356,339
1.00591e+07,182,64,64
1.00511e+07,113,18,18
1.00819e+07,371,167,167
1.0088e+07,550,156,156
1.00415e+07,2,2,2
1.00978e+07,582,165,165
1.00552e+07,130,48,48
1.00456e+07,48,9,9
1.00437e+07,26,11,11
1.00481e+07,53,34,34
1.00475e+07,65,33,33
1.0042e+07,9,5,5
1.00676e+07,308,79,76
1.00425e+07,15,6,6
1.01218e+07,853,331,327
1.01095e+07,675,206,202
1.0063e+07,238,51,51
1.01162e+07,852,217,216
1.00479e+07,74,18,18
1.0079e+07,366,131,127
1.00425e+07,12,5,5
1.01241e+07,911,324,324
1.0103e+07,630,157,146
1.01174e+07,846,217,202
1.01069e+07,746,164,162
1.00416e+07,3,3,3
1.00818e+07,453,107,107
1.00534e+07,136,47,47
1.00428e+07,12,10,10
1.00925e+07,573,129,129
1.00496e+07,93,34,34
1.00493e+07,92,24,24
1.01005e+07,585,163,163
1.00463e+07,47,24,24
1.01044e+07,650,242,242
1.0077e+07,403,75,75
1.00855e+07,468,152,145
1.00887e+07,625,16,16
1.01167e+07,742,360,358
1.01116e+07,926,14,14
1.00479e+07,91,5,5
1.01179e+07,825,261,261
1.00834e+07,462,98,92
1.00511e+07,94,37,37
1.0053e+07,120,43,43
1.00613e+07,283,4,4
1.01602e+07,1417,306,289
1.00897e+07,540,136,128
1.00487e+07,95,14,14
1.00608e+07,258,6,6
1.01076e+07,774,206,203
1.00633e+07,249,56,56
1.01344e+07,1042,450,449
1.00562e+07,181,52,52
1.00418e+07,4,4,4
1.00504e+07,98,28,28
1.00757e+07,345,120,120
1.00693e+07,301,75,75
1.00821e+07,394,179,179
1.01136e+07,719,241,236
1.00598e+07,215,38,38
1.01148e+07,724,276,276
1.00496e+07,90,19,19
1.00545e+07,137,33,33
1.00875e+07,487,142,136
1.01102e+07,809,279,275
1.00428e+07,15,7,7
1.00476e+07,77,11,11
1.00616e+07,208,65,65
1.00441e+07,30,16,16
1.01632e+07,1237,475,475
1.01265e+07,889,316,315
1.00521e+07,92,50,50
1.00432e+07,26,6,6
1.00423e+07,13,4,4
1.00428e+07,13,9,9
1.0071e+07,330,107,103
1.00413e+07,1,1,1
1.0079e+07,417,54,54
1.01403e+07,1201,216,211
1.0048e+07,94,14,14
1.00465e+07,64,11,11
1.01176e+07,818,348,348
1.00661e+07,211,113,113
1.0058e+07,168,39,39
1.00422e+07,12,3,3
1.01849e+07,1528,479,472
1.00431e+07,16,9,9
1.01165e+07,795,275,273
1.00426e+07,14,6,6
1.00594e+07,194,63,63
1.00427e+07,15,5,5
1.00533e+07,117,49,49
1.01084e+07,780,240,236
1.00662e+07,258,81,81
1.01223e+07,856,321,316
1.00432e+07,24,8,8
1.00421e+07,7,6,6
1.00937e+07,581,162,157
1.0087e+07,452,196,196
1.00427e+07,22,4,4
1.00605e+07,264,4,4
1.00462e+07,67,7,7
1.00561e+07,148,54,54
1.02211e+07,1949,804,797
1.0094e+07,663,70,70
1.00435e+07,17,13,13
1.00435e+07,22,11,11
1.00633e+07,247,74,74
1.00876e+07,480,148,144
