Space cost (bytes),# TPG edges,# Upper-bound edges,# TSPG edges
1.39135e+06,417,269,265
1.34686e+06,68,7,7
1.34553e+06,28,28,28
1.3476e+06,51,41,41
1.34302e+06,11,11,11
1.34172e+06,2,2,2
1.34586e+06,36,30,30
1.34902e+06,55,51,51
1.34419e+06,21,21,21
1.34265e+06,8,8,8
1.34348e+06,15,15,15
1.34212e+06,6,6,6
1.34179e+06,3,3,3
1.34401e+06,24,17,17
1.34528e+06,35,26,26
1.34487e+06,28,20,20
1.34216e+06,5,5,5
1.34438e+06,23,17,17
1.34235e+06,6,6,6
1.34464e+06,23,23,23
1.342e+06,4,4,4
1.34765e+06,54,33,33
1.34239e+06,7,7,7
1.34456e+06,21,21,21
1.3495e+06,74,74,74
1.35009e+06,66,53,53
1.34251e+06,7,7,7
1.34312e+06,11,11,11
1.34232e+06,6,6,6
1.34213e+06,5,5,5
1.34452e+06,20,20,20
1.35547e+06,119,90,90
1.3442e+06,19,19,19
1.34206e+06,4,4,4
1.3427e+06,9,9,9
1.34358e+06,13,13,13
1.3426e+06,8,8,8
1.347e+06,40,40,40
1.34529e+06,33,19,19
1.34259e+06,9,7,7
1.34331e+06,12,12,12
1.3421e+06,6,4,4
1.3419e+06,3,3,3
1.34207e+06,4,4,4
1.3526e+06,86,85,85
1.34252e+06,7,7,7
1.34357e+06,15,15,15
1.34555e+06,33,31,31
1.34173e+06,2,2,2
1.34574e+06,28,28,28
1.35406e+06,134,40,39
1.34159e+06,1,1,1
1.34448e+06,22,22,22
1.35402e+06,104,84,84
1.3422e+06,6,6,6
1.34158e+06,1,1,1
1.34158e+06,1,1,1
1.36955e+06,220,189,189
1.3504e+06,77,43,43
1.35158e+06,80,66,66
1.34793e+06,54,44,44
1.34947e+06,71,46,46
1.34512e+06,24,24,24
1.34536e+06,34,22,22
1.35245e+06,100,67,66
1.3549e+06,103,94,94
1.34499e+06,29,26,26
1.3419e+06,4,4,4
1.3441e+06,19,19,19
1.34189e+06,3,3,3
1.34189e+06,3,3,3
1.34227e+06,6,6,6
1.34172e+06,2,2,2
1.34157e+06,1,1,1
1.35655e+06,114,109,109
1.3458e+06,47,17,17
1.34189e+06,3,3,3
1.348e+06,46,42,42
1.34244e+06,8,8,8
1.35286e+06,98,65,65
1.40485e+06,609,427,415
1.40441e+06,562,358,347
1.34157e+06,1,1,1
1.34172e+06,2,2,2
1.34206e+06,4,4,4
1.3421e+06,5,5,5
1.34157e+06,1,1,1
1.34172e+06,2,2,2
1.34317e+06,14,13,13
1.34973e+06,69,50,50
1.34245e+06,8,6,6
1.36001e+06,161,109,109
1.34158e+06,1,1,1
1.36362e+06,182,169,169
1.34594e+06,30,30,30
1.3422e+06,5,5,5
1.34293e+06,9,9,9
1.35073e+06,86,69,69
1.34326e+06,14,14,14
1.34321e+06,12,10,10
1.34284e+06,10,10,10
1.35368e+06,96,75,75
1.3417e+06,2,2,2
1.34596e+06,33,33,33
1.34464e+06,22,22,22
1.34173e+06,2,2,2
1.34179e+06,3,3,3
1.36023e+06,156,125,125
1.3505e+06,64,61,61
1.34263e+06,8,8,8
1.34373e+06,19,14,14
1.37551e+06,302,256,256
1.34206e+06,4,4,4
1.34184e+06,3,3,3
1.34219e+06,5,5,5
1.35289e+06,98,68,68
1.43137e+06,725,655,655
1.34283e+06,11,11,11
1.34304e+06,11,11,11
1.34345e+06,14,14,14
1.342e+06,4,4,4
1.34996e+06,68,53,53
1.34234e+06,8,8,8
1.3473e+06,52,30,30
1.34466e+06,27,22,22
1.34304e+06,10,10,10
1.35149e+06,93,58,57
1.35824e+06,141,109,109
1.36526e+06,242,117,117
1.34157e+06,1,1,1
1.3438e+06,19,16,16
1.34189e+06,3,3,3
1.38887e+06,428,341,340
1.34189e+06,4,4,4
1.35227e+06,83,61,61
1.34224e+06,5,5,5
1.34157e+06,1,1,1
1.34302e+06,16,4,4
1.43458e+06,795,618,612
1.34158e+06,1,1,1
1.34174e+06,2,2,2
1.3435e+06,15,15,15
1.34724e+06,44,44,44
1.34398e+06,20,17,17
1.34365e+06,15,15,15
1.35072e+06,62,62,62
1.36048e+06,155,129,129
