Space cost (bytes),# TPG edges,# Upper-bound edges,# STPG edges
4.50388e+07,203,105,105
4.50642e+07,370,228,228
4.50146e+07,1,1,1
4.50195e+07,42,22,22
4.50181e+07,22,20,20
4.50153e+07,6,6,6
4.50146e+07,2,2,2
4.5015e+07,4,4,4
4.50184e+07,34,19,19
4.50145e+07,1,1,1
4.50383e+07,261,59,59
4.50148e+07,3,3,3
4.50363e+07,213,76,76
4.53274e+07,2660,1475,1472
4.50151e+07,7,3,3
4.5021e+07,70,10,10
4.50145e+07,1,1,1
4.52009e+07,1551,760,751
4.5037e+07,196,95,94
4.50202e+07,44,24,24
4.52575e+07,2059,971,971
4.50264e+07,81,56,56
4.50518e+07,316,173,173
4.50158e+07,9,9,9
4.50485e+07,317,116,116
4.50147e+07,2,2,2
4.50295e+07,115,68,68
4.50319e+07,232,17,17
4.50204e+07,44,30,30
4.50342e+07,173,91,91
4.5119e+07,1053,362,357
4.50146e+07,1,1,1
4.50177e+07,27,16,16
4.50145e+07,1,1,1
4.50145e+07,1,1,1
4.50982e+07,812,255,255
4.50146e+07,2,2,2
4.5031e+07,161,77,73
4.50164e+07,16,9,9
4.50145e+07,1,1,1
4.50146e+07,2,2,2
4.50176e+07,25,13,13
4.50165e+07,12,12,12
4.50154e+07,7,6,6
4.50146e+07,2,2,2
4.50151e+07,6,6,6
4.50152e+07,6,6,6
4.50156e+07,13,4,4
4.50172e+07,20,12,12
4.50525e+07,347,170,170
4.50148e+07,3,3,3
4.50159e+07,12,7,7
4.50188e+07,33,20,20
4.50146e+07,1,1,1
4.52895e+07,2272,1188,1188
4.50196e+07,36,28,28
4.5017e+07,16,13,13
4.50426e+07,261,88,88
4.50153e+07,12,2,2
4.50163e+07,14,10,10
4.51517e+07,1286,520,501
4.51257e+07,944,462,462
4.50149e+07,5,3,3
4.50286e+07,129,49,49
4.50167e+07,22,10,10
4.50146e+07,1,1,1
4.50147e+07,2,2,2
4.50862e+07,641,235,235
4.50147e+07,2,2,2
4.54358e+07,3412,1923,1922
4.50203e+07,45,27,27
4.50146e+07,1,1,1
4.54845e+07,4021,2088,2078
4.50353e+07,165,89,89
4.5018e+07,23,21,21
4.5028e+07,100,69,69
4.50157e+07,20,2,2
4.50258e+07,92,58,58
4.50339e+07,185,77,77
4.50157e+07,11,7,7
4.50214e+07,81,29,29
4.50145e+07,1,1,1
4.50145e+07,1,1,1
4.51742e+07,1400,590,590
4.50147e+07,2,2,2
4.50667e+07,455,203,203
4.50158e+07,9,8,8
4.50147e+07,2,2,2
4.5015e+07,8,2,2
4.50185e+07,49,13,13
4.50149e+07,4,4,4
4.50146e+07,2,2,2
4.55552e+07,5068,2528,2523
4.51169e+07,889,512,512
4.50151e+07,6,6,6
4.50155e+07,10,5,5
4.50537e+07,386,124,124
4.50158e+07,12,6,6
4.50148e+07,3,3,3
4.50555e+07,389,147,147
4.50552e+07,318,195,195
4.50146e+07,1,1,1
4.50207e+07,55,24,24
4.50162e+07,14,11,11
4.50577e+07,348,146,146
4.50186e+07,24,20,20
4.50155e+07,15,2,2
4.50174e+07,30,9,9
4.51201e+07,882,415,415
4.50148e+07,3,2,2
4.50154e+07,8,6,6
4.50156e+07,12,4,4
4.5034e+07,181,74,74
4.52043e+07,1656,930,930
4.50234e+07,98,16,16
4.50777e+07,559,247,247
4.50356e+07,196,80,80
4.50216e+07,66,21,21
4.50153e+07,6,6,6
4.50148e+07,3,3,3
4.50555e+07,343,190,190
4.51055e+07,830,374,374
4.50998e+07,682,313,313
4.52443e+07,1945,1060,1054
4.50199e+07,51,17,17
4.50145e+07,1,1,1
4.5022e+07,73,22,22
4.50246e+07,97,30,30
4.50146e+07,2,2,2
4.50194e+07,43,25,25
4.50146e+07,2,2,2
4.51447e+07,1264,613,613
4.5018e+07,29,18,18
4.51529e+07,1200,587,587
4.50164e+07,15,10,10
4.5015e+07,5,5,5
4.50145e+07,1,1,1
4.50191e+07,34,24,24
4.56419e+07,5740,3165,3161
4.50487e+07,276,133,133
4.50212e+07,68,26,26
4.50145e+07,1,1,1
4.50188e+07,46,16,16
4.50165e+07,24,5,5
4.50986e+07,776,338,338
4.50156e+07,13,4,4
4.52597e+07,2017,1123,1120
4.5019e+07,39,13,13
4.50889e+07,659,224,224
4.50848e+07,607,305,304
4.50147e+07,2,2,2
4.50266e+07,102,51,51
4.50147e+07,2,2,2
4.50253e+07,82,46,46
4.50148e+07,3,3,3
4.50147e+07,2,2,2
4.5018e+07,36,10,10
4.50172e+07,28,10,10
4.50271e+07,109,49,43
4.5044e+07,415,39,39
4.50735e+07,572,187,187
4.50146e+07,1,1,1
4.50146e+07,1,1,1
4.50154e+07,6,6,6
4.50145e+07,1,1,1
4.50191e+07,46,11,11
4.50145e+07,1,1,1
4.50154e+07,13,3,3
4.50157e+07,12,6,6
4.50236e+07,109,5,5
4.50282e+07,93,71,71
4.53195e+07,2583,1532,1526
4.50146e+07,1,1,1
4.50157e+07,13,4,4
4.50147e+07,2,2,2
4.53605e+07,3350,1427,1421
4.50156e+07,10,7,7
4.50176e+07,19,18,18
4.50169e+07,16,14,14
4.50161e+07,14,9,9
4.50145e+07,1,1,1
4.50145e+07,1,1,1
4.50147e+07,2,2,2
4.50147e+07,3,3,3
4.50162e+07,12,11,11
4.50193e+07,41,25,25
4.50145e+07,1,1,1
4.50165e+07,16,13,13
4.51254e+07,1025,442,441
4.50149e+07,5,3,3
4.50314e+07,129,74,74
4.50146e+07,1,1,1
4.50146e+07,1,1,1
4.50147e+07,2,2,2
4.50163e+07,17,7,7
4.52186e+07,1851,832,819
4.50151e+07,6,4,4
4.50342e+07,162,103,103
4.50172e+07,18,16,16
4.5016e+07,14,7,7
4.50145e+07,1,1,1
4.51143e+07,893,415,410
4.50202e+07,50,20,20
4.50258e+07,80,67,67
4.51291e+07,981,428,427
4.50176e+07,34,9,9
4.50209e+07,48,31,31
4.52721e+07,2247,1145,1141
4.50196e+07,57,9,9
4.50146e+07,2,2,2
4.50145e+07,1,1,1
4.50167e+07,20,12,12
4.50165e+07,13,11,11
4.50164e+07,21,6,6
4.50522e+07,296,167,167
4.50416e+07,212,122,122
4.50146e+07,1,1,1
4.50183e+07,32,17,17
4.50178e+07,25,20,20
4.50861e+07,546,314,302
4.50152e+07,7,4,4
4.50146e+07,1,1,1
4.50222e+07,80,18,18
4.50198e+07,49,31,31
4.506e+07,396,202,202
4.50241e+07,73,51,51
4.50952e+07,773,340,340
4.50145e+07,1,1,1
4.50145e+07,1,1,1
4.50238e+07,84,37,37
4.50147e+07,2,2,2
4.50324e+07,139,79,79
4.5051e+07,326,149,148
4.50224e+07,67,24,24
4.50146e+07,1,1,1
4.50318e+07,163,63,63
4.50145e+07,1,1,1
4.50279e+07,127,44,44
4.50145e+07,1,1,1
4.50228e+07,72,49,49
4.55627e+07,4609,2364,2360
4.52234e+07,1849,1002,1002
4.5016e+07,12,7,7
4.50169e+07,22,10,10
4.50227e+07,65,38,38
4.50145e+07,1,1,1
4.51566e+07,1229,750,749
4.50275e+07,105,54,54
4.50204e+07,54,26,26
4.50405e+07,203,101,101
4.50212e+07,66,27,27
4.51014e+07,809,347,347
4.50288e+07,118,52,52
