Space cost (bytes),# TPG edges,# Upper-bound edges,# STPG edges
3.31522e+07,1,1,1
3.31826e+07,307,96,96
3.31547e+07,26,10,10
3.31785e+07,260,66,66
3.31526e+07,6,2,2
3.31557e+07,30,17,17
3.31522e+07,1,1,1
3.31522e+07,1,1,1
3.36995e+07,5110,2194,2172
3.31676e+07,163,34,34
3.31536e+07,10,8,8
3.3164e+07,101,35,35
3.31642e+07,119,50,50
3.31523e+07,2,2,2
3.31663e+07,174,34,34
3.31602e+07,74,18,18
3.31524e+07,2,2,2
3.31529e+07,6,5,5
3.31526e+07,6,2,2
3.32545e+07,972,324,321
3.31567e+07,57,13,13
3.31544e+07,19,14,14
3.31879e+07,304,157,157
3.31523e+07,2,2,2
3.31672e+07,198,22,22
3.31564e+07,49,11,11
3.31579e+07,56,19,19
3.31522e+07,1,1,1
3.31543e+07,24,6,6
3.31758e+07,232,77,77
3.31522e+07,1,1,1
3.32943e+07,1507,456,441
3.33692e+07,2098,792,791
3.32122e+07,571,260,260
3.31794e+07,257,87,87
3.31596e+07,66,25,25
3.3158e+07,92,2,2
3.31846e+07,317,96,96
3.31556e+07,36,9,9
3.31558e+07,35,16,16
3.32965e+07,1398,539,537
3.31918e+07,390,160,160
3.31522e+07,1,1,1
3.31548e+07,24,12,12
3.31547e+07,30,7,7
3.31543e+07,26,4,4
3.31522e+07,1,1,1
3.31531e+07,7,7,7
3.31522e+07,1,1,1
3.31531e+07,10,5,5
3.31567e+07,40,23,23
3.31779e+07,247,90,90
3.33594e+07,1982,729,693
3.31527e+07,5,5,5
3.31522e+07,1,1,1
3.31564e+07,49,12,12
3.31523e+07,2,2,2
3.31541e+07,22,7,7
3.31565e+07,35,16,16
3.33366e+07,1827,702,700
3.31625e+07,103,38,38
3.32597e+07,1115,419,419
3.31544e+07,25,6,6
3.31782e+07,269,87,87
3.31701e+07,195,45,45
3.31522e+07,1,1,1
3.31572e+07,57,11,11
3.31523e+07,2,2,2
3.31537e+07,12,10,10
3.31522e+07,1,1,1
3.31526e+07,4,4,4
3.31529e+07,10,3,3
3.31523e+07,2,2,2
3.31533e+07,16,5,5
3.31585e+07,59,27,27
3.3158e+07,52,26,26
3.31716e+07,197,66,66
3.31564e+07,50,12,12
3.31532e+07,10,9,9
3.31641e+07,116,32,32
3.31553e+07,32,11,11
3.31898e+07,458,2,2
3.31523e+07,2,2,2
3.31524e+07,3,3,3
3.31522e+07,1,1,1
3.31809e+07,308,115,115
3.31534e+07,11,8,8
3.31583e+07,48,26,26
3.31524e+07,3,3,3
3.31747e+07,208,71,71
3.31647e+07,101,53,53
3.31522e+07,1,1,1
3.31522e+07,1,1,1
3.31522e+07,1,1,1
3.31682e+07,148,54,54
3.31533e+07,12,8,8
3.31575e+07,48,18,18
3.31929e+07,367,119,119
3.31524e+07,2,2,2
3.31532e+07,17,2,2
3.31768e+07,293,47,47
